Province,,ID,Interview Date,Version,Commune,Nº of prior non-responses ,Do you agree to participate in this survey?    ,1. What commune do you live in?,"2.	Gender       ","3.	What is your age?      ",4.What is the highest level of education you have completed?,"5.	What is your nationality?","6.	What is your ethnicity? ",7.What is your religion? ,8. Which one of these items do you have at home? ,9. Which types of medical care have you used in the last six months?,10. Which types of medical care have you used the most in the last six months?,11.a. [School teachers],11.b. [Scientific medicine practitioners],11.c.  [Traditional Chinese medicine practitioner],11.d. [Traditional Khmer medicine practitioner],"11.e. [Friends (e.g. boyfriend, close friends)]",11.f.[Monks and religious leaders],11.g. [Work colleagues or bosses],11.h. [Community leaders],"11.i.  [Close family (e.g. mother, siblings, wife, grandmother)]",12.a.​ [Cambodia],12.b. [Vietnam],12.c. [Thailand],12.d. [China],12.e. [US],12.f. [Europe],13.a. [TV],13.b.[Radio],13.c.[Newspapers],13.d. [Social Media(e.g. Facebook)],UCT,14. This list is about transportation,15. About medical condition and treatments,16. Thinking of your closest family and friends.,17. NT (a),18. NT (b),19. When was the most recent time you used bear bile or gall bladder for medicinal products?  ,Use_Bile_EVER,20. How often have you used bear bile or gall bladder for medicinal products in the last six months? ,Use_Bile,21.a.[Bear bile/bear gallbladder has medicinal value],21.b.[It is easy to find places to buy bear bile/bear gallbladder ],21.c.[There are effective medicinal alternatives to bear bile/bear gallbladder],21. d. [The use of bear bile/bear gallbladder is an important part of my culture],22.a.[ Most of the people I respect use bear bile or gallbladder for medicinal purposes],22.b.[Most people I respect have difficulty finding bear bile or gall bladder],22.c.[Most people I respect prefer scientific to traditional medicine],"22.d.[Most people I respect prefer bear bile or gall bladder from a Sun bear, not a moon bear]",Other information,Province ,Compaign site,,,,,,,,,
Siem Reap,5/30/2019 13:46,KR003,24/04/2019,A,Krabei Riel,0,Yes,Krabei Riel,Male,43,Primary school,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Trust,Completely trust,Distrust,Don't know,Distrust,Distrust,Distrust,Trust,Completely trust,Distrust,Completely distrust,Don't know,Don't know,Trust,Trust,Distrust,Don't know,Don't know,Don't know,Green (A),2,2,0-5%,0,0,Never,0,Never ,0,Don’t know,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 13:51,KR004,22/04/2019,A,Krabei Riel,0,Yes,Krabei Riel,Male,30,Primary school,Cambodian,Khmer,Buddhist,"Tractor, TV, Mobile phone, Bicycle, Motorbike, Fan",None,None,Completely distrust,Distrust,Completely distrust,Completely distrust,Completely distrust,Neither trust nor distrust,Completely distrust,Distrust,Trust,Trust,Completely distrust,Neither trust nor distrust,Completely distrust,Neither trust nor distrust,Neither trust nor distrust,Completely distrust,Completely distrust,Completely distrust,Completely distrust,Green (A),2,1,0-5%,0,0,Never,0,Never ,0,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 10:44,KR005,22/04/2019,A,Krabei Riel,0,Yes,Krabei Riel,Male,38,None,Cambodian,Khmer,Buddhist,"Tractor, TV, Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Neither trust nor distrust,Neither trust nor distrust,Completely distrust,Trust,Neither trust nor distrust,Neither trust nor distrust,Trust,Trust,Trust,Trust,Distrust,Trust,Trust,Trust,Trust,Completely distrust,Completely distrust,Completely distrust,Completely distrust,Green (A),2,1,0-5%,0,0,Never,0,Never ,0,Don’t know,Strongly Disagree,Don’t know,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 10:49,KR006,22/04/2019,A,Krabei Riel,0,Yes,Krabei Riel,Male,53,Primary school,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan","Western medicine, Traditional Khmer medicine",Western medicine,Trust,Trust,Completely distrust,Neither trust nor distrust,Completely distrust,Trust,Neither trust nor distrust,Trust,Trust,Neither trust nor distrust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Neither trust nor distrust,Don't know,Don't know,Don't know,Green (A),3,2,0-5%,0,0,Never,0,Never ,0,Agree,Strongly Disagree,Don’t know,Don’t know,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 10:53,KR007,23/04/2019,B,Krabei Riel,0,Yes,Krabei Riel,Male,40,None,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan",None,None,Neither trust nor distrust,Neither trust nor distrust,Distrust,Don't know,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Completely distrust,Completely distrust,Don't know,Completely distrust,Red (B),1,1,0-5%,0,0,Never,0,Never ,0,Agree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 13:59,KR008,22/04/2019,B,Krabei Riel,0,Yes,Krabei Riel,Male,35,Primary school,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Fridge/Freezer, Bicycle, Motorbike, Fan","Western medicine, Traditional Khmer medicine",Western medicine,Distrust,Distrust,Completely distrust,Distrust,Distrust,Neither trust nor distrust,Distrust,Distrust,Trust,Don't know,Distrust,Trust,Don't know,Completely trust,Don't know,Distrust,Don't know,Distrust,Completely distrust,Red (B),1,1,0-5%,0,0,Never,0,Never ,0,Agree,Disagree,Don’t know,Don’t know,Don’t know,Strongly Agree,Agree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 14:06,KR009,22/04/2019,B,Krabei Riel,0,Yes,Krabei Riel,Male,75,Primary school,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan","Western medicine, Traditional Khmer medicine",Western medicine,Trust,Neither trust nor distrust,Don't know,Trust,Neither trust nor distrust,Trust,Don't know,Trust,Trust,Trust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Don't know,Trust,Neither trust nor distrust,Neither trust nor distrust,Don't know,Red (B),2,2,0-5%,0,0,Never,0,Never ,0,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 14:12,KR010,23/04/2019,A,Krabei Riel,0,Yes,Krabei Riel,Male,30,High school,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan","Western medicine, Traditional Khmer medicine",Western medicine,Neither trust nor distrust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Distrust,Distrust,Distrust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Distrust,Trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Green (A),1,1,0-5%,0,0,Never,0,Never ,0,Don’t know,Strongly Disagree,Agree,Don’t know,Agree,Agree,Agree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 14:16,KR011,23/04/2019,A,Krabei Riel,0,Yes,Krabei Riel,Male,60,None,Cambodian,Khmer,Buddhist,"Tractor, TV, Mobile phone, Motorbike, Fan, Washing machine",Western medicine,Western medicine,Distrust,Completely trust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Trust,Neither trust nor distrust,Trust,Distrust,Distrust,Distrust,Completely distrust,Trust,Neither trust nor distrust,Neither trust nor distrust,Distrust,Completely distrust,Green (A),2,1,0-5%,0,0,Never,0,Never ,0,Don’t know,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 14:21,KR012,22/04/2019,B,Krabei Riel,0,Yes,Krabei Riel,Male,32,Primary school,Cambodian,Khmer,Buddhist,"Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Trust,Completely trust,Distrust,Distrust,Trust,Neither trust nor distrust,Trust,Trust,Completely trust,Trust,Completely distrust,Distrust,Distrust,Distrust,Distrust,Distrust,Distrust,Neither trust nor distrust,Distrust,Red (B),1,2,0-5%,0,0,Never,0,Never ,0,Don’t know,Disagree,Disagree,Don’t know,Don’t know,Agree,Strongly Agree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 13:22,KR013,23/04/2019,B,Krabei Riel,0,Yes,Krabei Riel,Male,35,High school,Cambodian,Khmer,Buddhist,"Mobile phone, Motorbike, Fan",Western medicine,Western medicine,Neither trust nor distrust,Completely trust,Distrust,Neither trust nor distrust,Distrust,Neither trust nor distrust,Distrust,Trust,Trust,Neither trust nor distrust,Completely distrust,Don't know,Don't know,Trust,Trust,Neither trust nor distrust,Trust,Completely distrust,Completely distrust,Red (B),1,1,0-5%,0,0,Never,0,Never ,0,Neither agree nor disagree,Strongly Disagree,Don’t know,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 14:38,KR014,23/04/2019,B,Krabei Riel,0,Yes,Krabei Riel,Male,40,Primary school,Cambodian,Khmer,Buddhist,"Mobile phone, Motorbike, Fan","Western medicine, Traditional Khmer medicine",Western medicine,Trust,Trust,Don't know,Neither trust nor distrust,Don't know,Neither trust nor distrust,Don't know,Trust,Trust,Don't know,Distrust,Neither trust nor distrust,Distrust,Trust,Trust,Neither trust nor distrust,Neither trust nor distrust,Don't know,Trust,Red (B),2,2,0-5%,0,0,Never,0,Never ,0,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 14:44,KR015,22/04/2019,B,Krabei Riel,0,Yes,Krabei Riel,Male,25,Primary school,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Don't know,Completely trust,Don't know,Don't know,Neither trust nor distrust,Trust,Neither trust nor distrust,Completely trust,Completely trust,Distrust,Completely distrust,Don't know,Don't know,Don't know,Don't know,Neither trust nor distrust,Don't know,Don't know,Distrust,Red (B),1,1,0-5%,0,0,Never,0,Never ,0,Don’t know,Strongly Disagree,Strongly Agree,Don’t know,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 14:50,KR016,22/04/2019,A,Krabei Riel,0,Yes,Krabei Riel,Male,39,Primary school,Cambodian,Khmer,Buddhist,"Tractor, Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Don't know,Trust,Don't know,Trust,Distrust,Trust,Distrust,Neither trust nor distrust,Trust,Neither trust nor distrust,Completely distrust,Trust,Distrust,Completely trust,Completely trust,Neither trust nor distrust,Distrust,Don't know,Neither trust nor distrust,Green (A),1,2,0-5%,0,0,Never,0,Never ,0,Don’t know,Strongly Disagree,Don’t know,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 14:55,KR017,22/04/2019,B,Krabei Riel,0,Yes,Krabei Riel,Male,59,None,Cambodian,Khmer,Buddhist,"Tractor, TV, Mobile phone, Bicycle, Motorbike, Fan","Western medicine, Traditional Khmer medicine",Western medicine,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Completely trust,Trust,Don't know,Trust,Trust,Trust,Trust,Distrust,Neither trust nor distrust,Trust,Distrust,Red (B),2,3,0-5%,0,0,Never,0,Never ,0,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 8:31,KR018,22/04/2019,A,Krabei Riel,0,Yes,Krabei Riel,Male,23,Primary school,Cambodian,Khmer,Buddhist,"Tractor, TV, Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Trust,Trust,Trust,Trust,Distrust,Trust,Distrust,Trust,Trust,Trust,Neither trust nor distrust,Distrust,Distrust,Trust,Trust,Neither trust nor distrust,Neither trust nor distrust,Don't know,Neither trust nor distrust,Green (A),4,2,0-5%,1,0,Never,0,Never ,0,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 8:38,KR019,22/04/2019,B,Krabei Riel,0,Yes,Krabei Riel,Male,64,Primary school,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Trust,Trust,Distrust,Trust,Trust,Trust,Neither trust nor distrust,Trust,Trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Trust,Neither trust nor distrust,Don't know,Red (B),1,2,0-5%,0,0,Never,0,Never ,0,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 8:42,KR020,23/04/2019,B,Krabei Riel,0,Yes,Krabei Riel,Male,46,Secondary school,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Motorbike, Fan",Western medicine,Western medicine,Trust,Trust,Distrust,Distrust,Distrust,Neither trust nor distrust,Distrust,Trust,Trust,Trust,Completely distrust,Neither trust nor distrust,Completely distrust,Trust,Trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Red (B),1,2,0-5%,0,0,Never,0,Never ,0,Agree,Disagree,Don’t know,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Disagree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 9:04,KR022,22/04/2019,B,Krabei Riel,0,Yes,Krabei Riel,Male,24,Primary school,Cambodian,Khmer,Buddhist,"Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Trust,Trust,Don't know,Don't know,Trust,Don't know,Trust,Trust,Trust,Trust,Distrust,Trust,Distrust,Trust,Trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Red (B),1,2,0-5%,0,0,Never,0,Never ,0,Agree,Disagree,Agree,Don’t know,Agree,Agree,Agree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 9:08,KR023,23/04/2019,A,Krabei Riel,0,Yes,Krabei Riel,Male,35,Primary school,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Neither trust nor distrust,Trust,Distrust,Neither trust nor distrust,Trust,Trust,Trust,Trust,Trust,Trust,Distrust,Distrust,Distrust,Trust,Trust,Trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Green (A),3,2,0-5%,0,0,Never,0,Never ,0,Don’t know,Disagree,Agree,Disagree,Agree,Agree,Agree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 13:59,KR024,23/04/2019,B,Krabei Riel,0,Yes,Krabei Riel,Male,41,None,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Motorbike, Fan","Western medicine, Traditional Khmer medicine",Traditional Khmer medicine,Trust,Trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Trust,Trust,Distrust,Distrust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Don't know,Red (B),1,2,0-5%,0,0,Never,0,Never ,0,Agree,Disagree,Don’t know,Neither agree nor disagree,Agree,Agree,Strongly Agree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 14:06,KR025,24/04/2019,A,Krabei Riel,0,Yes,Krabei Riel,Male,41,Primary school,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Trust,Trust,Trust,Trust,Neither trust nor distrust,Trust,Neither trust nor distrust,Trust,Trust,Trust,Distrust,Completely trust,Distrust,Completely trust,Completely trust,Trust,Trust,Trust,Distrust,Green (A),2,2,0-5%,0,0,Never,0,Never ,0,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 14:11,KR026,24/04/2019,A,Krabei Riel,1,Yes,Krabei Riel,Male,39,Secondary school,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Distrust,Trust,Distrust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Distrust,Trust,Distrust,Completely distrust,Trust,Distrust,Trust,Trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Distrust,Green (A),2,2,0-5%,0,0,Never,0,Never ,0,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
Siem Reap,5/30/2019 14:17,KR027,24/04/2019,B,Krabei Riel,0,Yes,Krabei Riel,Male,30,Primary school,Cambodian,Khmer,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Trust,Trust,Distrust,Trust,Neither trust nor distrust,Trust,Trust,Trust,Trust,Distrust,Neither trust nor distrust,Trust,Distrust,Trust,Trust,Trust,Trust,Trust,Trust,Red (B),1,2,0-5%,0,0,Never,0,Never ,0,Don’t know,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Don’t know,None,Siem Reap,Additional site for demand survey ,,,,,,,,,
